id,user_name,post_message,num_like_post,num_comment_post,num_share_post,label,user_name_labelEncoder,user_name_freq,post_message_preproced
1396,f3b5ef251fb740cd22686dc7b5ca0149,"Những sai phạm, vi phạm tố tụng nghiêm trọng của cơ quan điều tra. Nếu không làm rõ, xử lý đến nơi đến chốn thì bất cứ ai trong tương lai cũng có thể rơi vào trường hợp của Nguyễn Thanh Chấn,...

Cuộc sống vui vầy trả hết nợ nần của người tù oan Nguyễn Thanh Chấn
Nhận hơn 7 tỷ đồng tiền tòa án bồi thường oan sai, ông Nguyễn Thanh Chấn trả nợ, xây nhà, chia vốn cho các con...

Đến thôn Me, xã Nghĩa Trung, huyện Việt Yên, tỉnh Bắc Giang hỏi nhà ông Nguyễn Thanh Chấn – người ngồi tù oan 10 năm về tội Giết người – người dân sẽ nhiệt tình chỉ ngay tới ngôi nhà ba tầng khang trang trên mặt đường trung tâm xóm.

Ông Chấn tâm sự dù đoàn tụ với gia đình gần 4 năm qua nhưng nỗi ám ảnh về hơn thập kỷ bị bắt vẫn như còn nguyên. ""Hôm được trả tự do, tôi ngỡ như một giấc mơ, ngốc nghếch hỏi cán bộ trại giam: Thả tôi về rồi thì bao giờ lại bắt"", ông vui vẻ kể trong lúc bán dưa muối cho khách.",43,0,8,0,3524,3,sai_phạm vi_phạm tố_tụng nghiêm_trọng cơ_quan điều_tra đến_nơi_đến_chốn tương_lai rơi trường_hợp nguyễn_thanh chấn cuộc_sống vui_vầy nợ_nần tù oan nguyễn_thanh chấn tỷ đồng_tiền toà_án bồi_thường oan sai nguyễn_thanh chấn nợ xây chia vốn thôn me xã nghĩa trung huyện việt_yên tỉnh bắc_giang nguyễn_thanh chấn ngồi_tù oan tội giết dân nhiệt_tình tầng khang_trang mặt đường trung_tâm xóm chấn tâm_sự đoàn_tụ gia_đình nỗi ám_ảnh thập_kỷ bắt nguyên hôm tự_do ngỡ giấc mơ ngốc_nghếch cán_bộ trại_giam thả bắt vui_vẻ dưa muối
658,7232123072953674752,"ĐÃ QUÁ SỨC TƯỞNG TƯỢNG CỦA LOÀI NGƯỜI - HÔM NAY ( 07h00 20.03.2020)TẠI Ý: 41.035 ca nhiễm. 3405 ca tử vong!!!... Toàn bộ nước Ý đóng cửa. ------ Một lá thư từ nước Ý Bình an cho mọi người, Chúng tôi sống ở Ý - Milan, Tôi sẽ chia sẻ với bạn và giải thích cho bạn, “Cuộc sống ở Milan ra sao” trong những ngày khó khăn này và tôi nghĩ bạn nên học hỏi từ những sai lầm và hậu quả của chúng tôi khi sống ở đây. Chúng tôi hiện đang bị cách ly. Chúng tôi không xuống đường, cảnh sát liên tục di chuyển và bắt giữ bất cứ ai bên ngoài nhà họ. Mọi thứ kết thúc rồi! ... kinh doanh, trung tâm thương mại, cửa hàng, tất cả các đường phố mà không lưu chuyển. Cảm giác về ngày tận cùng của thế giới!! Nước Ý, đất nước của cuộc sống sống động, được chuyển đổi từ khoảnh khắc này sang khoảnh khắc khác như thể nó đã là đất nước của một chiến tranh đen tối. Thực tế chưa bao giờ nghĩ rằng tôi sẽ sống! Mọi người bối rối, buồn bã, lo lắng và bất lực, và thường không hiểu thực tế này trút lên đầu họ và khi nào cơn ác mộng này sẽ kết thúc. Sai lầm lớn là khi bắt đầu những cảnh báo về bệnh dịch, mọi người vẫn tiếp tục sống một cuộc sống như thường lệ và đi đến nơi làm việc, giải trí và cảm thấy như một kỳ nghỉ, vì vậy, những việc tụ tập với bạn bè và tiệc tùng cứ đều đều. Mọi người đã sai và bạn cũng thế! Tôi xin bạn, hãy cẩn thận, đây không phải là một trò đùa hay một là một câu chuyện phiếm. Hãy bảo vệ những người thân yêu, cha mẹ và ông bà của bạn! Bệnh dịch này thật là nguy hiểm cho họ. Khoảng 200 người chết ở đây mỗi ngày, không phải vì thuốc men ở Milan không tốt (nó là một trong những nơi tốt nhất trên thế giới), mà là vì không có nhiều nơi dành cho tất cả mọi người! Bác sĩ chọn ai sẽ chết mà thôi! Điều này chỉ là do sự ngu muội của người dân ngay từ lúc đầu, đã quyết định tiếp tục cuộc sống của họ như bình thường, bất chấp tình hình mới! Xin vui lòng, hãy học hỏi từ những sai lầm, chúng tôi là một quốc gia nhỏ bé mà lại có kết cục với một bi kịch quá lớn. Bây giờ hãy nghe tôi,,, Đừng đi ra ngoài nơi đông người. Cố gắng không ăn uống ở những nơi công cộng. Ở lại lâu dài hơn trong nhà suốt thời gian này! Hãy lắng nghe những hướng dẫn của Bộ Y tế (đừng đùa với nó!). Nói chuyện với người khác có khoảng cách, không đến gần, không âu yếm hay ôm ấp. Nhận một điều trị bổ sung và phòng ngừa và học hỏi từ những sai lầm của người khác. Chúng tôi khuyên bạn nên dùng vitamin C để tăng cường hệ thống miễn dịch. Hãy giúp các chuyên gia ngăn chặn sự lây lan của dịch ... Ở Ý, toàn bộ đất nước bị cô lập, nghĩa là 60 triệu người bị cách ly!! Điều này sẽ được ngăn chặn nếu mọi người đã nghe hướng dẫn từ lúc ban đầu. Chăm sóc bản thân và cuộc sống của người bạn thương yêu. Hãy chia sẻ thông điệp này cho mọi người. ĐẠI DỊCH CORONA QUẢ THẬT LÀ ĐÁNG SỢ. ĐỪNG ĐÙA GIỠN VỚI NÓ! Xem thêm",1200,522,4500,0,1834,1,quá_sức tưởng_tượng loài_người hôm_nay ca nhiễm ca tử_vong toàn_bộ đóng_cửa lá thư_từ bình_an sống milan giải_thích “ cuộc_sống milan ” học_hỏi sai_lầm hậu_quả sống hiện cách_ly xuống_đường cảnh_sát liên_tục di_chuyển bắt_giữ kết_thúc kinh_doanh trung_tâm thương_mại cửa_hàng đường_phố không_lưu cảm_giác tận_cùng thế_giới đất_nước cuộc_sống sống_động chuyển_đổi khoảnh_khắc khoảnh_khắc đất_nước chiến_tranh đen_tối sống bối_rối buồn_bã lo_lắng bất_lực trút đầu ác_mộng kết_thúc sai_lầm cảnh_báo bệnh_dịch sống cuộc_sống thường_lệ đi làm_việc giải_trí kỳ nghỉ tụ_tập bạn_bè tiệc_tùng sai cẩn_thận trò_đùa câu_chuyện phiếm bảo_vệ người_thân yêu cha_mẹ ông_bà bệnh_dịch nguy_hiểm chết thuốc_men milan thế_giới bác_sĩ chết ngu_muội người_dân đầu quyết_định cuộc_sống bình_thường bất_chấp tình_hình vui_lòng học_hỏi sai_lầm quốc_gia nhỏ_bé kết_cục bi_kịch đừng đi đông cố_gắng ăn_uống công_cộng lâu_dài suốt lắng_nghe hướng_dẫn tế đừng đùa nói_chuyện âu_yếm ôm_ấp điều_trị bổ_sung phòng_ngừa học_hỏi sai_lầm khuyên vitamin tăng_cường hệ_thống miễn_dịch giúp chuyên_gia ngăn_chặn lây_lan dịch toàn_bộ đất_nước cô_lập nghĩa_là triệu cách_ly ngăn_chặn hướng_dẫn ban_đầu chăm_sóc cuộc_sống thương_yêu thông_điệp đại_dịch corona sợ đừng đùa_giỡn
354,6570265313371844608,"[English below] Có thể ngày mai, ngày kia, Việt Nam sẽ xuất hiện thêm ca nhiễm mới. Nhưng hãy vững tin Việt Nam sẽ chiến thắng! ---... Perhaps tomorrow or the next few days, Viet Nam may have new cases of COVID-19. However, we can be confident Viet Nam will win! Xem thêm",11000,371,3600,0,1655,16,english below ngày_mai ngày_kia việt_nam ca nhiễm vững việt_nam chiến_thắng perhaps tomorow or the next few days viet nam may have new cases of covid however we can be confident viet nam wil win
701,2184427389792466944,"Sau mấy tháng nghỉ tránh dịch COVID-19, học sinh cả nước hớn hở trở lại trường. Tuy nhiên, 3 chị em Giàng Thị Hiền thì tràn ngập đau buồn, muốn bỏ học luôn vì bố mẹ đột ngột chết thảm, bà nội già yếu, không còn ai nuôi dưỡng.",9,2,4,0,720,7,mấy nghỉ dịch covid học_sinh hớn_hở trở_lại trường chị_em giàng thị hiền tràn_ngập đau_buồn học bố_mẹ đột_ngột chết thảm nội già_yếu nuôi_dưỡng
400,fa546d873f1273950bbf97bcd8fd3c0d,Từ Trạm Vũ trụ quốc tế (ISS) về Trái Đất thì cũng vẫn phải... cách ly.,7,0,0,0,3614,1,trạm vũ_trụ quốc_tế is trái_đất cách_ly
557,-3533482413411831808,"Máy bay hạ cánh trượt khỏi đường băng Tân Sơn Nhất, Vietjet nói do mưa gió lớn

Chiều 14-6, Hãng hàng không Vietjet xác nhận chuyến bay VJ322 khởi hành từ Phú Quốc đi TP.HCM lúc 11h23.

Khi hạ cánh tại sân bay Tân Sơn Nhất lúc 12h10, do ảnh hưởng của thời tiết mưa gió lớn tại khu vực sân bay, máy bay đã trượt ra ngoài mép đường băng. Máy bay và toàn bộ hành khách, tổ bay đều an toàn.

Đại diện Vietjet cho biết hãng đã giải phóng toàn bộ hành khách và đang phối hợp với các đơn vị thuộc Cảng hàng không Tân Sơn Nhất tập trung giải phóng đường băng.

Vietjet lý giải tình huống máy bay hạ cánh trượt khỏi đường băng do ảnh hưởng của thời tiết xấu, mưa lớn là tình huống có thể xảy ra trong ngành hàng không.",0,0,0,0,63,7,máy_bay hạ_cánh trượt đường_băng tân_sơn vietjet mưa_gió chiều hãng hàng_không vietjet xác_nhận chuyến bay vj khởi_hành phú_quốc đi URL hạ_cánh sân_bay tân_sơn ảnh_hưởng thời_tiết mưa_gió khu_vực sân_bay máy_bay trượt mép đường_băng máy_bay toàn_bộ hành_khách tổ bay an_toàn đại_diện vietjet hãng giải_phóng toàn_bộ hành_khách phối_hợp cảng_hàng_không tân_sơn giải_phóng đường_băng vietjet lý_giải tình_huống máy_bay hạ_cánh trượt đường_băng ảnh_hưởng thời_tiết xấu mưa tình_huống xảy ngành hàng_không
1425,64f508875035fcf9ffb70bcbd11e36ea,"Bắt thanh niên sát hại thiếu nữ 16 tuổi trong nhà trọ ở Đồng Nai để trộm tài sản
Tối 14/4, Phòng Cảnh sát hình sự (PC02) Công an tỉnh Đồng Nai cho biết, vừa phối hợp với Công an tỉnh Đắk Lắk bắt giữ Đậu Đức Mười (SN: 1989, quê Nghệ An) để điều tra về hành vi “Giết người”.
Mười được xác định là kẻ sát hại thiếu nữ Phạm Thị Bình M. (16 tuổi, quê Thừa Thiên Huế, tạm trú tại phường Long Bình, TP Biên Hòa) vào rạng sáng 9/4.
Bước đầu, Mười khai nhận đã sát hại M. để trộm tài sản. Sau khi sát hại nạn nhân, Mười trốn lên Đắk Lắk cho đến khi bị bắt giữ.
Trước đó, rạng sáng 9/4, người dân tại dãy nhà trọ thuộc Tổ 17, Khu phố 8A, phường Long Bình nghe tiếng la hét ""trộm, trộm"".
Người dân chạy đến kiểm tra thì phát hiện thiếu nữ tên M. bị nhiều vết thương trên người, kẻ trộm biến mất.
Nạn nhân được đưa vào bệnh viện để cấp cứu nhưng nạn nhân t.ử <URL> do vết thương quá nặng.",1,0,0,0,1642,1,bắt thanh_niên sát_hại thiếu_nữ nhà_trọ đồng_nai trộm tài_sản tối phòng cảnh_sát hình_sự pc công_an tỉnh đồng_nai phối_hợp công_an tỉnh đắk_lắk bắt_giữ đậu đức mười sn quê nghệ_an điều_tra hành_vi “ giết ” mười xác_định kẻ sát_hại thiếu_nữ phạm thị bình quê thừa_thiên_huế tạm_trú phường long bình tp biên_hoà rạng bước_đầu mười khai sát_hại trộm tài_sản sát_hại nạn_nhân mười trốn đắk_lắk bắt_giữ rạng người_dân dãy nhà_trọ tổ khu_phố phường long bình tiếng la_hét trộm trộm người_dân chạy kiểm_tra phát_hiện thiếu_nữ vết_thương kẻ_trộm biến nạn_nhân bệnh_viện cấp_cứu nạn_nhân tử url vết_thương
3315,678ba69c2b1751c7ebb4c127ba3626f1,"NÓI ĐI, NGẠI GÌ! | BRAY LÊN TIẾNG VỀ NHỮNG LẦN 'CÀ KHỊA' FAN BTS
Nhiều lần có những phát ngôn được cho là ""đụng chạm"" đến các fan Kpop đặc biệt là BTS, rapper B Ray nói gì trong chương trình Nói đi, ngại gì!?
#Bray #Army #fanBTS #fankpop #rapper #scandal #vạmiệng #Nóiđingạigì #EllyTrần #talkshownóithật",7,0,0,0,1687,1,đi ngại bray lên_tiếng cà_khịa fan bts phát_ngôn đụng_chạm fan kpop bts raper ray chương_trình đi ngại bray army fanbts fankpop raper scandal vạmiệng nóiđingạigì elytrần talkshownóithật
406,5391873293840443392,"Tính mạng, quyền lợi và lợi ích hợp pháp của người dân được hiến pháp quy định, được pháp luật bảo vệ. Tuy nhiên vẫn có những kẻ xem thường pháp luật, hành hung, phá hoại tài sản của người khác, mong chính, cơ quan điều tra công an huyện Hương Khê sớm điều tra rõ, xử lý người phạm tội để đảm bảo quyền lợi, lợi ích hợp pháp cho người dân.",12,3,0,0,1397,1,tính_mạng quyền_lợi lợi_ích hợp_pháp người_dân hiến_pháp quy_định pháp_luật bảo_vệ kẻ xem_thường pháp_luật hành_hung phá_hoại tài_sản mong cơ_quan điều_tra công_an huyện hương_khê điều_tra phạm_tội quyền_lợi lợi_ích hợp_pháp dân
956,0ba3ce9e206659c2ffaadbd52dbd9912,"Công ty Rạng Đông quá đỉnh khi đổi được 7,2ha đất xây nhà ở xã hội để bán đất xây biệt thự. Giá qui đổi 2,5t/m2 bán vài chục triệu/m2",37,9,1,0,351,1,công_ty rạng_đông đỉnh đổi ha đất xây xã_hội đất xây biệt_thự giá qui_đổi tm chục triệum
